Artist,Feat,Track,File,Year
Aaron Copland,,Fanfare For The Common Man,artwu_2018_05_08.txt,2018
Childish Gambino,,This Is America,artwu_2018_05_08.txt,2018
David Byrne,,I Dance Like This,artwu_2018_05_08.txt,2018
Tune-Yards,,Heart Attack,artwu_2018_05_08.txt,2018
Dirty Projectors,,Keep Your Name,artwu_2018_05_08.txt,2018
Jeffrey Lewis,,What Are You Doing To Do After The Orgy?,artwu_2018_05_08.txt,2018
Orange Juice,,Rip It Up,artwu_2018_05_08.txt,2018
The Housemartins,,The People Who Grinned Themselves To Death,artwu_2018_05_08.txt,2018
Confidence Men,,Don't You Know I'm In A Band,artwu_2018_05_08.txt,2018
Kate Bush,,Hounds Of Love,artwu_2018_05_08.txt,2018
Stornoway,,Zorbing,artwu_2018_05_08.txt,2018
Blur,,For Tomorrow,artwu_2018_05_08.txt,2018
Powell,,Sylvester Stallone,artwu_2018_05_08.txt,2018
The Postal Service,,The District Sleeps Alone Tonight,artwu_2018_05_08.txt,2018
Bonobo,,Migration,artwu_2018_05_08.txt,2018
Crywank,,A Soreness So Familiar It Soon Becomes Unquestioned,artwu_2018_05_08.txt,2018
Bon Iver,,22 (Over Sâˆžâˆžn),artwu_2018_05_08.txt,2018
Peter Gabriel,,Sledgehammer,artwu_2018_05_08.txt,2018
Creep Show,,Mr. Dynamite,artwu_2018_05_08.txt,2018
Glen Campbell,,Wichita Lineman,artwu_2018_05_08.txt,2018
Thomas Truax,,You Are My Sunshine,artwu_2018_05_09.txt,2018
Big Thief,,Shark Smile,artwu_2018_05_09.txt,2018
Janelle Monã¡E,Big Boi,Tightrope,artwu_2018_05_09.txt,2018
Connie Converse,,We Lived Alone,artwu_2018_05_09.txt,2018
David Byrne,,Every Day Is A Miracle,artwu_2018_05_09.txt,2018
Tasmin Archer,,Sleeping Satellite,artwu_2018_05_09.txt,2018
The Lucksmiths,,T-Shirt Weather,artwu_2018_05_09.txt,2018
Lcd Soundsystem,,Dance Yrself Clean,artwu_2018_05_09.txt,2018
Holly Throsby,,It's Only Need,artwu_2018_05_09.txt,2018
Jeffrey Lewis & Los Bolts,,Sad Screaming Old Man,artwu_2018_05_09.txt,2018
Bonobo,Rhye,Break Apart,artwu_2018_05_09.txt,2018
St. Vincent,,Hang On Me,artwu_2018_05_09.txt,2018
Bon Iver,,22 (Over Sâˆžâˆžn),artwu_2018_05_09.txt,2018
Jane Weaver,,H>A>K,artwu_2018_05_09.txt,2018
The Flaming Lips,,Do You Realize??,artwu_2018_05_09.txt,2018
Ivor Cutler Trio,,I'm Happy,artwu_2018_05_09.txt,2018
The Tallest Man On Earth,,Love Is All,artwu_2018_05_09.txt,2018
Noah And The Whale,,Love Of An Orchestra,artwu_2018_05_09.txt,2018
Darren Hanlon,,Trust Your Feelings (When You Wake),artwu_2018_05_09.txt,2018
Four Tet,,As Serious As Your Life,artwu_2018_05_09.txt,2018
King Creosote & Jon Hopkins,,First Watch,artwu_2018_05_09.txt,2018
King Creosote & Jon Hopkins,,John Taylor's Month Away,artwu_2018_05_09.txt,2018
Thomas Truax,,You Are My Sunset,artwu_2018_05_09.txt,2018
Snapped Ankles,,I Want My Minutes Back,artwu_2018_05_10.txt,2018
Aidan Moffat And Rm Hubbert,Siobhan Wilson,Cockcrow,artwu_2018_05_10.txt,2018
Herman Dã¼ne,,Down By The Jacaranda,artwu_2018_05_10.txt,2018
Super Furry Animals,,Hermann Loves Pauline,artwu_2018_05_10.txt,2018
David Byrne,,Everybody's Coming To My House,artwu_2018_05_10.txt,2018
