Aaron Copland,Fanfare for the Common Man
Childish Gambino,This Is America
David Byrne,I Dance Like This
tUnE-yArDs,Heart Attack
Dirty Projectors,Keep Your Name
Jeffrey Lewis,What Are You Doing to Do After the Orgy?
Orange Juice,Rip It Up
The Housemartins,The People Who Grinned Themselves to Death
Confidence Men,Don't You Know I'm In A Band
Kate Bush,Hounds Of Love
Stornoway,Zorbing
Blur,For Tomorrow
Powell,Sylvester Stallone
The Postal Service,The District Sleeps Alone Tonight
Bonobo,Migration
Crywank,A Soreness So Familiar It Soon Becomes Unquestioned
Bon Iver,22 (OVER SâˆžâˆžN)
Peter Gabriel,Sledgehammer
Creep Show,Mr. Dynamite
Glen Campbell,Wichita Lineman
Thomas Truax,You Are My Sunshine
Big Thief,Shark Smile
Janelle MonÃ¡e,Tightrope
Connie Converse,We Lived Alone
David Byrne,Every Day Is a Miracle
Tasmin Archer,Sleeping Satellite
The Lucksmiths,T-Shirt Weather
LCD Soundsystem,Dance Yrself Clean
Holly Throsby,It's Only Need
Jeffrey Lewis & Los Bolts,Sad Screaming Old Man
Bonobo ft. Rhye,Break Apart
St. Vincent,Hang On Me
Bon Iver,22 (OVER SâˆžâˆžN)
Jane Weaver,H>A>K
The Flaming Lips,Do You Realize??
Ivor Cutler Trio,I'm Happy
The Tallest Man On Earth,Love Is All
Noah and the Whale,Love of an Orchestra
Darren Hanlon,Trust Your Feelings (When You Wake)
Four Tet,As Serious As Your Life
King Creosote & Jon Hopkins,First Watch
King Creosote & Jon Hopkins,John Taylor's Month Away
Thomas Truax,You Are My Sunset
Snapped Ankles,I Want My Minutes Back
Aidan Moffat and RM Hubbert ft. Siobhan Wilson,Cockcrow
Herman DÃ¼ne,Down By The Jacaranda
Super Furry Animals,Hermann Loves Pauline
David Byrne,Everybody's Coming To My House
Paul Simon,You Can Call Me Al
Joan As Police Woman,The Classic
Pharrell Williams,Runnin'
John Grant,Sensitive New Age Guy
Mount Kimbie,Four Years and One Day (Gerd Janson Remix)
PJ Harvey,The Community Of Hope
The Breeders,Cannonball
Klezmer Music,Choopah
LCD Soundsystem,North American Scum
Lambchop,In Care Of 8675309
Half Man Half Biscuit,Tending the Wrong Grave for 23 Years
The Reindeer Section,Cartwheels
Ron Tutt,The Sheffield Track/Drum Record
Courtney Barnett,City Looks Pretty
Super Furry Animals,The Man Don't Give A Fuck
HeCTA,We Are Glistening
Bonobo,Migration
tUnE-yArDs,Coast to Coast
BB King,We Can't Agree
The Sheffield Track/Drum Record,Jim Keltner
Boz Scaggs,Lido Shuffle
Christine and the Queens,Tilted
Kings of Convenience,Love Is No Big Truth
The Goon Sax,Sweaty Hands
Doves,There Goes the Fear
Withered Hand,Joy
Bonnie Prince Billy,I See A Darkness
Arctic Monkeys,Bigger Boys and Stolen Sweethearts
Eleanor Friedberger,My Jesus Phase
Liz Phair,Fuck and Run
David Byrne,It's Not Dark Up Here
Emmy the Great,Swimming Pool
St. Vincent,Masseduction
Slow Club,When I Go
LCD Soundsystem,Pow Pow
The Divine Comedy,Tonight We Fly
Peaches,Dick In The Air
Le Tigre,What's Yr Take on Cassavetes
David Byrne,Gasoline and Dirty Sheets
Mount Kimbie,Blue Train Lines (Nina Kraviz Remix)
Stephen Sondheim,Now You Know from Merrily We Roll Along
Jeffrey Lewis,Roll Bus Roll
Radiohead,High and Dry
Janelle MonÃ¡e,Q.U.E.E.N.
Roger Whittaker,New World In The Morning
Field Music,Disappointed
Darlingside,Eschaton
Holly Herndon,Chorus
Holly Throsby,Now I Love Someone
tUnE-yArDs,Colonizer
Yo La Tengo,Our Way To Fall
Pulp,Help The Aged
Dirty Projectors,Up In Hudson
Miss Kitten and the Hacker,Frank Sinatra
James,Sometimes
Frightened Rabbit,Head Rolls Off
Divine Comedy,Tonight We Fly
Elbow,One Day Like This
Absolute Body Control,Figures
Chemical Brothers,Leave Home
Darren Hanlon,All These Things
Poppy Avkroyd,Paper
Terence Trent D'Arby,Sign Your Name
Black Spirituals,Body
Darren Hanlon,Electric Skeleton
Luke Haines,The Subbuteo Lads
The Divine Comedy,The Certainty of Chance
